Variable,Description,Variable type,Possible values
cornbread_trial,Performance on picture-matching trial where the correct choice was cornbread from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
hoe_trial,Performance on picture-matching trial where the correct choice was hoe from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
watermelon_trial,Performance on picture-matching trial where the correct choice was watermelon from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
fan_trial,Performance on picture-matching trial where the correct choice was fan from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
bear_trial,Performance on picture-matching trial where the correct choice was bear from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
scaffolding_trial,Performance on picture-matching trial where the correct choice was scaffolding from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
potato_trial,Performance on picture-matching trial where the correct choice was potato from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
sloth_trial,Performance on picture-matching trial where the correct choice was sloth from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
net_trial,Performance on picture-matching trial where the correct choice was net from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
peeking_trial,Performance on picture-matching trial where the correct choice was peeking from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
pistachio_trial,Performance on picture-matching trial where the correct choice was pistachio from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
juggling_trial,Performance on picture-matching trial where the correct choice was juggling from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
bamboo_trial,Performance on picture-matching trial where the correct choice was bamboo from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
carousel_trial,Performance on picture-matching trial where the correct choice was carousel from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
coaster_trial,Performance on picture-matching trial where the correct choice was coaster from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
lollipop_trial,Performance on picture-matching trial where the correct choice was lollipop from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
cloak_trial,Performance on picture-matching trial where the correct choice was cloak from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
hopscotch_trial,Performance on picture-matching trial where the correct choice was hopscotch from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
turbine_trial,Performance on picture-matching trial where the correct choice was turbine from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
waterwheel_trial,Performance on picture-matching trial where the correct choice was waterwheel from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
typewriter_trial,Performance on picture-matching trial where the correct choice was typewriter from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
fruitcake_trial,Performance on picture-matching trial where the correct choice was fruitcake from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
blower_trial,Performance on picture-matching trial where the correct choice was blower from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
saddle_trial,Performance on picture-matching trial where the correct choice was saddle from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
sprinkler_trial,Performance on picture-matching trial where the correct choice was sprinkler from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
spatula_trial,Performance on picture-matching trial where the correct choice was spatula from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
map_trial,Performance on picture-matching trial where the correct choice was map from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
swordfish_trial,Performance on picture-matching trial where the correct choice was swordfish from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
sink_trial,Performance on picture-matching trial where the correct choice was sink from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
knight_trial,Performance on picture-matching trial where the correct choice was knight from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
latch_trial,Performance on picture-matching trial where the correct choice was latch from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
ruler_trial,Performance on picture-matching trial where the correct choice was ruler from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
ski_trial,Performance on picture-matching trial where the correct choice was ski from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
teabag_trial,Performance on picture-matching trial where the correct choice was teabag from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
shower_trial,Performance on picture-matching trial where the correct choice was shower from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
sorbet_trial,Performance on picture-matching trial where the correct choice was sorbet from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
panda_trial,Performance on picture-matching trial where the correct choice was panda from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
arrow_trial,Performance on picture-matching trial where the correct choice was arrow from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
puddle_trial,Performance on picture-matching trial where the correct choice was puddle from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
ant_trial,Performance on picture-matching trial where the correct choice was ant from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
pie_trial,Performance on picture-matching trial where the correct choice was pie from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
snail_trial,Performance on picture-matching trial where the correct choice was snail from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
treasure_trial,Performance on picture-matching trial where the correct choice was treasure from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
oil_trial,Performance on picture-matching trial where the correct choice was oil from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
acorn_trial,Performance on picture-matching trial where the correct choice was acorn from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
squash_trial,Performance on picture-matching trial where the correct choice was squash from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
telescope_trial,Performance on picture-matching trial where the correct choice was telescope from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
stretcher_trial,Performance on picture-matching trial where the correct choice was stretcher from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
tapestry_trial,Performance on picture-matching trial where the correct choice was tapestry from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
corset_trial,Performance on picture-matching trial where the correct choice was corset from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
antenna_trial,Performance on picture-matching trial where the correct choice was antenna from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
trumpet_trial,Performance on picture-matching trial where the correct choice was trumpet from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
squirrel_trial,Performance on picture-matching trial where the correct choice was squirrel from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
rice_trial,Performance on picture-matching trial where the correct choice was rice from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
cassette_trial,Performance on picture-matching trial where the correct choice was cassette from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
cheese_trial,Performance on picture-matching trial where the correct choice was cheese from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
marshmallow_trial,Performance on picture-matching trial where the correct choice was marshmallow from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
kimono_trial,Performance on picture-matching trial where the correct choice was kimono from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
envelope_trial,Performance on picture-matching trial where the correct choice was envelope from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
dentist_trial,Performance on picture-matching trial where the correct choice was dentist from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
carrot_trial,Performance on picture-matching trial where the correct choice was carrot from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
seagull_trial,Performance on picture-matching trial where the correct choice was seagull from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
buffet_trial,Performance on picture-matching trial where the correct choice was buffet from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
turkey_trial,Performance on picture-matching trial where the correct choice was turkey from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
claw_trial,Performance on picture-matching trial where the correct choice was claw from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
blender_trial,Performance on picture-matching trial where the correct choice was blender from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
omelet_trial,Performance on picture-matching trial where the correct choice was omelet from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
cake_trial,Performance on picture-matching trial where the correct choice was cake from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
barrel_trial,Performance on picture-matching trial where the correct choice was barrel from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
farm_trial,Performance on picture-matching trial where the correct choice was farm from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
bouquet_trial,Performance on picture-matching trial where the correct choice was bouquet from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
scoop_trial,Performance on picture-matching trial where the correct choice was scoop from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
pitcher_trial,Performance on picture-matching trial where the correct choice was pitcher from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
tunnel_trial,Performance on picture-matching trial where the correct choice was tunnel from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
locker_trial,Performance on picture-matching trial where the correct choice was locker from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
hamster_trial,Performance on picture-matching trial where the correct choice was hamster from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
clothespin_trial,Performance on picture-matching trial where the correct choice was clothespin from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
sandbag_trial,Performance on picture-matching trial where the correct choice was sandbag from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
turtle_trial,Performance on picture-matching trial where the correct choice was turtle from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
ball_trial,Performance on picture-matching trial where the correct choice was ball from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
caramel_trial,Performance on picture-matching trial where the correct choice was caramel from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
calendar_trial,Performance on picture-matching trial where the correct choice was calendar from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
